(0, 8.3536612385067013),
(4341, 6.7269133956156226),
(8682, 6.7060208264096604),
(13023, 6.7159024469800475),
(17364, 6.6956106987678936),
(21705, 6.7123706042366731),
(26046, 6.6905341075538818),
(30387, 6.6780630331228537),
(34728, 6.5760188570092195),
(39069, 6.6032873601417972),
(43410, 6.548312623856825),
(47751, 6.5474356252230965),
(52092, 6.5456662420146969),
(56433, 6.5742702448210926),
(60774, 6.6050298179535467),
(65115, 6.5809131248230619),
(69456, 6.5356153760939408),
(73797, 6.4992737835875092),
(78138, 6.4998792203636002),
(82479, 6.502177879940426),
(86820, 6.5037664783427491),
(91161, 6.5075483426264418),
(95502, 6.5109440197924746),
(99843, 6.5133796142436884),
(104184, 6.5150659133709983),
(108525, 6.5159675295102346),
(112866, 6.5163821806186375),
(117207, 6.5165552724542426),
(121548, 6.5165760434745144),
(125889, 6.516506037443226),
(130230, 6.5164391086001254),
(134571, 6.5163767955393084),
(138912, 6.5163175596666791),
(143253, 6.5162614009822386),
(147594, 6.5162090887830333),
(151935, 6.5161583151779228),
(156276, 6.5161113880580483),
(160617, 6.5160667688293143),
(164958, 6.5160244574917225),
(169299, 6.5159844540452712),
(173640, 6.5159475277870094),
(177981, 6.5159121401228415),
(182322, 6.5158782910527675),
(186663, 6.5158467498738357),
(191004, 6.515816747288997),
(195345, 6.5157890525953004),
(199686, 6.5157613579016038),
(204027, 6.5157359710990486),
(208368, 6.5157121228905872),
(212709, 6.5156890439791733),
(217050, 6.5156682729589015),
(221391, 6.5156475019386288),
(225732, 6.5156290388094975),
(230073, 6.5156105756803662),
(234414, 6.5155936511453296),
(238755, 6.515578265204387),
(243096, 6.5155628792634444),
(247437, 6.5155490319165956),
(251778, 6.5155359538667943),
(256119, 6.5155228758169939),
(260460, 6.5155113363612864),
(264801, 6.5155005662026264),
(269142, 6.5154897960439673),
(273483, 6.5154797951823538),
(277824, 6.5154697943207411),
(282165, 6.5154613320532233),
(286506, 6.515453639082752),
(290847, 6.5154459461122807),
(295188, 6.5154382531418094),
(299529, 6.5154320987654319),
(303870, 6.5154259443890554),
(308211, 6.5154205593097254),
(312552, 6.5154159435274428),
(316893, 6.5154105584481128),
(321234, 6.5154067119628767),
(325575, 6.5154028654776415),
(329916, 6.5153990189924054),
(334257, 6.5153951725071702),
(338598, 6.5153936339130754),
(342939, 6.5153905567248867),
(347280, 6.5153882488337453),
(351621, 6.515385940942604),
(355962, 6.5153851716455575),
(360303, 6.5153836330514627),
(364644, 6.5153828637544153),
(368985, 6.5153828637544153),
(373326, 6.5153820944573688),
(377667, 6.5153820944573688),
(382008, 6.5153828637544153),
(386349, 6.5153705550016614),
(390690, 6.5153582462489075),
(395031, 6.5153474760902474),
(399372, 6.5153351673374935),
(403713, 6.5153251664758809),
(408054, 6.5153151656142683),
(412395, 6.515305934049703),
(416736, 6.5152959331880904),
(421077, 6.5152867016235243),
(425418, 6.5152782393560065),
(429759, 6.5152697770884878),
