(0, 8.0064388217522655),
(2389, 6.5283206879978026),
(4778, 6.3449597466355394),
(7167, 6.2938534228233998),
(9556, 6.285585604916232),
(11945, 6.2793480499862673),
(14334, 6.276002042708047),
(16723, 6.2624287627025543),
(19112, 6.2726989494644325),
(21501, 6.2224337407305681),
(23890, 6.2420149855808846),
(26279, 6.222213162592694),
(28668, 6.228221127437517),
(31057, 6.1961853714638835),
(33446, 6.205449224114254),
(35835, 6.2246978851963748),
(38224, 6.2302174883273826),
(40613, 6.2226011054655315),
(43002, 6.2163356564130732),
(45391, 6.2112134372425158),
(47780, 6.2076412730019221),
(50169, 6.205451369815985),
(52558, 6.2039661150782752),
(54947, 6.202607456742653),
(57336, 6.2011655451798955),
(59725, 6.199706897143642),
(62114, 6.1983636878604775),
(64503, 6.1971934221367757),
(66892, 6.1961557607800053),
(69281, 6.1951691671244165),
(71670, 6.1941769946443284),
(74059, 6.1931989837956607),
(76448, 6.1923561521560009),
(78837, 6.1917575013732495),
(81226, 6.1908631728920627),
(83615, 6.1890277396319693),
(86004, 6.187132655863774),
(88393, 6.185632381213952),
(90782, 6.1844144809118378),
(93171, 6.1834343243614391),
(95560, 6.182849406069761),
(97949, 6.1828017714913486),
(100338, 6.1831322095578134),
(102727, 6.1787365249931341),
(105116, 6.1791592282340018),
(107505, 6.1770216801702826),
(109894, 6.1773465394122491),
(112283, 6.1763723908266961),
(114672, 6.1764899752815161),
(117061, 6.1757196683603404),
(119450, 6.1756029421862122),
(121839, 6.1756424230980498),
(124228, 6.1752703584180173),
(126617, 6.1751107182092833),
(129006, 6.1750540716836033),
(131395, 6.1750472054380667),
(133784, 6.1750643710519091),
(136173, 6.1749386329305134),
(138562, 6.1748575254051081),
(140951, 6.1748068868442738),
(143340, 6.1747785635814338),
(145729, 6.1747648310903598),
(148118, 6.1747613979675915),
(150507, 6.1747652602307062),
(152896, 6.1747189130733311),
(155285, 6.1746807195825326),
(157674, 6.1746502506179617),
(160063, 6.1746253604778909),
(162452, 6.1746060491623185),
(164841, 6.1745906001098598),
(167230, 6.1745777258994785),
(169619, 6.1745691430925573),
(172008, 6.1745627059873662),
(174397, 6.1745579854435597),
(176786, 6.1745554106014833),
(179175, 6.1745541231804451),
(181564, 6.1745536940400987),
(183953, 6.1745549814611369),
(186342, 6.1745382449876409),
(188731, 6.1745232250755286),
(191120, 6.1745086343037627),
(193509, 6.174495330953035),
(195898, 6.1744824567426528),
(198287, 6.1744712990936552),
(200676, 6.1744601414446585),
(203065, 6.1744494129360064),
(205454, 6.174439542708047),
(207843, 6.1744301016204339),
(210232, 6.1744215188135128),
(212621, 6.1744133651469379),
(215010, 6.1744052114803623),
(217399, 6.1743983452348257),
(219788, 6.1743910498489427),
(222177, 6.1743841836034052),
(224566, 6.174377746498215),
(226955, 6.1743717385333703),
(229344, 6.174366159708871),
(231733, 6.1743605808843727),
(234122, 6.1743554312002198),
(236511, 6.1743502815160669),
